arm,seed,r0,peak_copies_per_genome,peak_generation,final_copies_per_genome,extinct,time_to_inactivation,phase_failure,mean_rate_at_peak,mean_rate_end
per-copy,1,0.20881177844523188,115.94666666666667,493,103.29666666666667,0,539,none,0.8929322702016443,0.9059467230371157
family-level,1,0.20881177844523188,12.45,24,0,1,26,none,0.20881177844523732,0
per-copy,2,0.18983928949237516,24.05666666666667,160,0,1,165,none,0.2086305175478258,0
family-level,2,0.18983928949237516,26.576666666666668,150,0,1,151,none,0.18983928949235598,0
per-copy,3,0.21788453555024356,110.61666666666666,534,101.43,0,536,none,0.9257686284833706,0.9224588279170685
family-level,3,0.21788453555024356,24.44,78,0.06333333333333334,0,79,none,0.21788453555023823,0.21788453555024348
per-copy,4,0.19511220474040372,14.93,26,0,1,28,none,0.19786670585373423,0
family-level,4,0.19511220474040372,19.233333333333334,26,0.6066666666666667,0,27,none,0.19511220474040877,0.19511220474040405
per-copy,5,0.19680439606109076,21.086666666666666,427,0.03666666666666667,0,428,none,0.24685507516901373,0.20591181901237612
family-level,5,0.19680439606109076,14.243333333333334,38,0,1,39,none,0.1968043960611042,0
per-copy,6,0.18225313450835176,14.98,27,0,1,28,none,0.18690704254131807,0
family-level,6,0.18225313450835176,14.47,36,0,1,37,none,0.18225313450833697,0
per-copy,7,0.2123066081844185,112.88,498,90.29333333333334,0,502,none,0.8930308591082882,0.9260262337248993
family-level,7,0.2123066081844185,15.673333333333334,28,0,1,202,none,0.2123066081844353,0
per-copy,8,0.21351339590516002,15.41,30,0,1,31,none,0.21612679751782035,0
family-level,8,0.21351339590516002,13.74,22,0,1,23,none,0.21351339590514984,0
per-copy,9,0.2029603322245307,92.16,422,71.91666666666667,0,590,none,0.8683956651673403,0.8890996840867906
family-level,9,0.2029603322245307,23.56,233,17.733333333333334,0,243,none,0.20296033222454396,0.20296033222451887
per-copy,10,0.1970082408197048,107.09,390,98.68666666666667,0,NA,no-inactivation,0.9140936137712496,0.9211950609053292
family-level,10,0.1970082408197048,11.34,22,0,1,25,none,0.19700824081970672,0
per-copy,11,0.1958252041667147,165.84,457,146.32333333333332,0,461,none,0.8239729343594946,0.900286711189436
family-level,11,0.1958252041667147,38.516666666666666,204,19.996666666666666,0,214,none,0.1958252041667531,0.1958252041667145
per-copy,12,0.2121906875858366,29.966666666666665,99,0,1,100,none,0.26113618434065555,0
family-level,12,0.2121906875858366,16.526666666666667,238,0,1,248,none,0.21219068758582718,0
per-copy,13,0.2051220018805523,16.133333333333333,27,0,1,28,none,0.20692444934017673,0
family-level,13,0.2051220018805523,31.423333333333332,91,10.116666666666667,0,92,none,0.2051220018805116,0.2051220018805591
per-copy,14,0.19299746544880272,105.59,475,97.88333333333334,0,494,none,0.9284089146014622,0.919602958148669
family-level,14,0.19299746544880272,15.29,208,0.016666666666666666,0,241,none,0.19299746544879823,0.19299746544880272
per-copy,15,0.20604095154507093,111.61666666666666,574,97.13333333333334,0,576,none,0.9148644482149721,0.912784032018668
family-level,15,0.20604095154507093,24.656666666666666,301,0.06,0,302,none,0.20604095154505367,0.20604095154507093
per-copy,16,0.20191206231786385,15.816666666666666,22,0,1,23,none,0.2038304462703554,0
family-level,16,0.20191206231786385,28.736666666666668,238,4.906666666666666,0,253,none,0.20191206231788386,0.20191206231786454
per-copy,17,0.20136929326391534,103.47666666666667,595,99.36333333333333,0,598,none,0.9005732405120573,0.8986170563463568
family-level,17,0.20136929326391534,25.796666666666667,264,0,1,265,none,0.20136929326393657,0
per-copy,18,0.20788860882172036,11.2,23,0,1,24,none,0.21144891211596747,0
family-level,18,0.20788860882172036,11.486666666666666,26,0,1,31,none,0.20788860882172097,0
per-copy,19,0.18569385420895093,101.99333333333334,460,88.69666666666667,0,462,none,0.8939728913586216,0.9125143136861522
family-level,19,0.18569385420895093,13.593333333333334,297,12.46,0,298,none,0.18569385420894993,0.18569385420895254
per-copy,20,0.2042520202623681,32.723333333333336,57,0,1,60,none,0.24083125386170137,0
family-level,20,0.2042520202623681,21.613333333333333,144,0,1,147,none,0.20425202026238506,0
per-copy,21,0.19053750675414569,29.49,145,0,1,151,none,0.1999354155927702,0
family-level,21,0.19053750675414569,11.263333333333334,23,0,1,24,none,0.1905375067541406,0
per-copy,22,0.19513304244752008,19.36,323,0.6366666666666667,0,326,none,0.2203074956699373,0.25111777317822176
family-level,22,0.19513304244752008,20.773333333333333,33,0.03666666666666667,0,35,none,0.19513304244751473,0.1951330424475201
per-copy,23,0.19802234729515156,12.58,25,0,1,27,none,0.20211663751294637,0
family-level,23,0.19802234729515156,25.12,295,0,1,299,none,0.19802234729514026,0
per-copy,24,0.21578991784733426,108.69333333333333,581,86.46333333333334,0,587,none,0.8876367613610674,0.8900345678979693
family-level,24,0.21578991784733426,9.58,20,0,1,21,none,0.21578991784734836,0
per-copy,25,0.20483026342345734,111.05333333333333,358,83.66666666666667,0,373,none,0.8796869946286118,0.8885208922509478
family-level,25,0.20483026342345734,22.71,85,0,1,88,none,0.20483026342344723,0
per-copy,26,0.20879940014579207,96.44,600,96.44,0,NA,no-inactivation,0.9248412525670424,0.9248412525670424
family-level,26,0.20879940014579207,15.283333333333333,125,0,1,127,none,0.20879940014580703,0
per-copy,27,0.19653892354002742,110.47333333333333,525,77.67333333333333,0,558,none,0.9174850233864207,0.8980476326360268
family-level,27,0.19653892354002742,40.63666666666666,108,18.453333333333333,0,120,none,0.19653892354001942,0.19653892354003363
per-copy,28,0.20698387733377666,172.03,449,139.45,0,499,none,0.9248961122379131,0.9075788356420111
family-level,28,0.20698387733377666,11.346666666666666,20,0,1,22,none,0.2069838773337648,0
per-copy,29,0.2042899467511614,9.613333333333333,28,0,1,32,none,0.21077697766252143,0
family-level,29,0.2042899467511614,12.273333333333333,32,0,1,33,none,0.2042899467511534,0
per-copy,30,0.20225688420282226,19.68,27,0,1,28,none,0.20535627749055718,0
family-level,30,0.20225688420282226,16.206666666666667,24,0,1,26,none,0.20225688420282484,0
per-copy,31,0.18455200365830227,97.36,567,88.29666666666667,0,NA,no-inactivation,0.8131619802473038,0.8789344810480109
family-level,31,0.18455200365830227,44.24,102,0.30333333333333334,0,105,none,0.1845520036583064,0.18455200365830227
per-copy,32,0.20281679292398513,25.836666666666666,344,0,1,347,none,0.24911130690023664,0
family-level,32,0.20281679292398513,26.463333333333335,207,0,1,213,none,0.2028167929240094,0
per-copy,33,0.2088046808420792,18.33,26,0,1,27,none,0.21217165900092064,0
family-level,33,0.2088046808420792,23.273333333333333,24,0,1,25,none,0.20880468084208842,0
per-copy,34,0.20250482570426276,17.65,31,0,1,32,none,0.20938631830135926,0
family-level,34,0.20250482570426276,13.903333333333334,24,0,1,25,none,0.20250482570426914,0
per-copy,35,0.19891954508429574,24.076666666666668,178,0,1,179,none,0.2373802255208997,0
family-level,35,0.19891954508429574,40.18333333333333,263,6.73,0,272,none,0.19891954508425447,0.1989195450843046
per-copy,36,0.1925523595092917,14.726666666666667,28,0,1,29,none,0.1961927296968638,0
family-level,36,0.1925523595092917,13.306666666666667,29,0,1,30,none,0.1925523595092807,0
per-copy,37,0.185460851570095,91.87333333333333,586,85.31,0,590,none,0.8911042175192161,0.8937076922982073
family-level,37,0.185460851570095,18.393333333333334,25,0,1,27,none,0.18546085157007008,0
per-copy,38,0.1957646849897931,10.38,27,0,1,28,none,0.19823432405853605,0
family-level,38,0.1957646849897931,38.986666666666665,464,17.05666666666667,0,514,none,0.1957646849897915,0.1957646849897688
per-copy,39,0.20110650163843702,14.35,100,0,1,104,none,0.2489430436691626,0
family-level,39,0.20110650163843702,12.486666666666666,31,0,1,32,none,0.20110650163845334,0
per-copy,40,0.20445391660134105,18.57,101,0,1,102,none,0.22543421387994173,0
family-level,40,0.20445391660134105,39.83,565,23.913333333333334,0,569,none,0.204453916601326,0.20445391660132753
