arm,theta,sigma_s,k_star,seed,stopped_at,copies_per_genome,silenced_fraction,extinct,saturated,saturation_generation,extinction_generation,entries_per_genome,max_genomes_with_repertoire,saw_nonzero_entry,ever_had_repertoire
A-conscription,0.1,0.015,44,1,600,158.25333333333333,0.9730390091835875,0,0,NA,NA,67.04666666666667,300,1,1
A-conscription,0.1,0.015,44,2,600,102.21666666666667,0.9861405511169086,0,0,NA,NA,30.78,300,1,1
A-conscription,0.1,0.015,44,3,600,85.37666666666667,0.9631437160816773,0,0,NA,NA,30,300,1,1
A-conscription,0.1,0.015,44,4,600,99.45333333333333,0.9845153505831881,0,0,NA,NA,34.71,300,1,1
A-conscription,0.1,0.015,44,5,600,154.42666666666668,0.9492315662234502,0,0,NA,NA,66.06666666666666,300,1,1
A-conscription,0.1,0.015,44,6,600,177.15333333333334,0.9533360930267565,0,0,NA,NA,53.626666666666665,300,1,1
A-conscription,0.1,0.015,44,7,600,151.61333333333334,0.9513894996042565,0,0,NA,NA,45.11666666666667,300,1,1
A-conscription,0.1,0.015,44,8,600,168.30666666666667,0.9669254535371941,0,0,NA,NA,54.093333333333334,300,1,1
A-conscription,0.1,0.015,44,9,600,0,0,1,0,NA,231,1,300,1,1
A-conscription,0.1,0.015,44,10,600,85.29666666666667,0.9567783031771464,0,0,NA,NA,19.933333333333334,300,1,1
B-innate,0.1,0.015,44,1,164,1517.5,0.015949478308621635,0,1,164,NA,1,300,0,1
B-innate,0.1,0.015,44,2,162,1545.12,0.024705740222981602,0,1,162,NA,1,300,0,1
B-innate,0.1,0.015,44,3,600,0,0,1,0,NA,216,1,300,0,1
B-innate,0.1,0.015,44,4,600,0,0,1,0,NA,291,1,300,0,1
B-innate,0.1,0.015,44,5,135,1525.77,0.01999646080339763,0,1,135,NA,1,300,0,1
B-innate,0.1,0.015,44,6,600,0,0,1,0,NA,253,1,300,0,1
B-innate,0.1,0.015,44,7,166,1537.77,0.021193026265306256,0,1,166,NA,1,300,0,1
B-innate,0.1,0.015,44,8,600,0,0,1,0,NA,266,1,300,0,1
B-innate,0.1,0.015,44,9,600,0,0,1,0,NA,269,1,300,0,1
B-innate,0.1,0.015,44,10,600,0,0,1,0,NA,249,1,300,0,1
A-conscription,0.1,0.02,25,1,600,216.23,0.9403413032419183,0,0,NA,NA,78.94333333333333,300,1,1
A-conscription,0.1,0.02,25,2,600,134.63,0.9695461635593849,0,0,NA,NA,46.67333333333333,300,1,1
A-conscription,0.1,0.02,25,3,600,214.27666666666667,0.9488200612914768,0,0,NA,NA,86.38333333333334,300,1,1
A-conscription,0.1,0.02,25,4,600,193.63,0.9616106319613008,0,0,NA,NA,82.19666666666667,300,1,1
A-conscription,0.1,0.02,25,5,600,193.18333333333334,0.955655249762747,0,0,NA,NA,79.78,300,1,1
A-conscription,0.1,0.02,25,6,600,194.82,0.9409369332375184,0,0,NA,NA,86.45,300,1,1
A-conscription,0.1,0.02,25,7,600,210.57666666666665,0.964747597866177,0,0,NA,NA,78.81,300,1,1
A-conscription,0.1,0.02,25,8,600,194.96333333333334,0.9418352168783873,0,0,NA,NA,79.73666666666666,300,1,1
A-conscription,0.1,0.02,25,9,600,208.88333333333333,0.9681002154312615,0,0,NA,NA,69.12,300,1,1
A-conscription,0.1,0.02,25,10,600,193.54333333333332,0.9579594578302878,0,0,NA,NA,84.5,300,1,1
B-innate,0.1,0.02,25,1,93,1525.4533333333334,0.026280712181733955,0,1,93,NA,1,300,0,1
B-innate,0.1,0.02,25,2,132,1606.25,0.03400674448767834,0,1,132,NA,1,300,0,1
B-innate,0.1,0.02,25,3,114,1676.1866666666667,0.026323639371907664,0,1,114,NA,1,300,0,1
B-innate,0.1,0.02,25,4,225,1625.15,0.012419366417458902,0,1,225,NA,1,300,0,1
B-innate,0.1,0.02,25,5,116,1587.62,0.02035961586105827,0,1,116,NA,1,300,0,1
B-innate,0.1,0.02,25,6,122,1612.4866666666667,0.01646525242585985,0,1,122,NA,1,300,0,1
B-innate,0.1,0.02,25,7,147,1540.0666666666666,0.02354876412276525,0,1,147,NA,1,300,0,1
B-innate,0.1,0.02,25,8,95,1588.56,0.024235785868963085,0,1,95,NA,1,300,0,1
B-innate,0.1,0.02,25,9,161,1611.5266666666666,0.011477729192608251,0,1,161,NA,1,300,0,1
B-innate,0.1,0.02,25,10,99,1559.25,0.027579498690609803,0,1,99,NA,1,300,0,1
A-conscription,0.1,0.03,11,1,600,266.66,0.9461986549663741,0,0,NA,NA,144.12333333333333,300,1,1
A-conscription,0.1,0.03,11,2,600,264.1533333333333,0.9509628246220629,0,0,NA,NA,144.81333333333333,300,1,1
A-conscription,0.1,0.03,11,3,600,263.14666666666665,0.9469117349006891,0,0,NA,NA,133.75,300,1,1
A-conscription,0.1,0.03,11,4,600,264.3066666666667,0.9363744135600061,0,0,NA,NA,148.47666666666666,300,1,1
A-conscription,0.1,0.03,11,5,600,254.40333333333334,0.941824661626551,0,0,NA,NA,136.66333333333333,300,1,1
A-conscription,0.1,0.03,11,6,600,253.52,0.944054380982434,0,0,NA,NA,146.24,300,1,1
A-conscription,0.1,0.03,11,7,600,247.18333333333334,0.9505090688422898,0,0,NA,NA,145.04,300,1,1
A-conscription,0.1,0.03,11,8,600,267.56333333333333,0.9506160535200389,0,0,NA,NA,144.98333333333332,300,1,1
A-conscription,0.1,0.03,11,9,600,268.67333333333335,0.9466886677749932,0,0,NA,NA,142.73333333333332,300,1,1
A-conscription,0.1,0.03,11,10,600,275.99,0.9381982438977258,0,0,NA,NA,140.04666666666665,300,1,1
B-innate,0.1,0.03,11,1,90,1500.2433333333333,0.03481435233839844,0,1,90,NA,1,300,0,1
B-innate,0.1,0.03,11,2,89,1525.0533333333333,0.01641254076360171,0,1,89,NA,1,300,0,1
B-innate,0.1,0.03,11,3,150,1598.25,0.028107826268314304,0,1,150,NA,1,300,0,1
B-innate,0.1,0.03,11,4,120,1575.5966666666666,0.012056808108674174,0,1,120,NA,1,300,0,1
B-innate,0.1,0.03,11,5,117,1651.61,0.011526127031603507,0,1,117,NA,1,300,0,1
B-innate,0.1,0.03,11,6,142,1610.1533333333334,0.010599404611569085,0,1,142,NA,1,300,0,1
B-innate,0.1,0.03,11,7,120,1558.32,0.025726423327686227,0,1,120,NA,1,300,0,1
B-innate,0.1,0.03,11,8,107,1572.0933333333332,0.008305274496001085,0,1,107,NA,1,300,0,1
B-innate,0.1,0.03,11,9,111,1587.5466666666666,0.019018863487477534,0,1,111,NA,1,300,0,1
B-innate,0.1,0.03,11,10,150,1621.11,0.019688156057680643,0,1,150,NA,1,300,0,1
A-conscription,0.15,0.015,100,1,600,0,0,1,0,NA,351,1,300,1,1
A-conscription,0.15,0.015,100,2,600,0,0,1,0,NA,327,1,300,1,1
A-conscription,0.15,0.015,100,3,600,0,0,1,0,NA,227,1,300,1,1
A-conscription,0.15,0.015,100,4,600,0,0,1,0,NA,291,1,300,1,1
A-conscription,0.15,0.015,100,5,600,0,0,1,0,NA,278,1,300,1,1
A-conscription,0.15,0.015,100,6,600,0,0,1,0,NA,342,1,300,1,1
A-conscription,0.15,0.015,100,7,600,0,0,1,0,NA,245,1,300,1,1
A-conscription,0.15,0.015,100,8,600,0,0,1,0,NA,266,1,300,1,1
A-conscription,0.15,0.015,100,9,600,0,0,1,0,NA,269,1,300,1,1
A-conscription,0.15,0.015,100,10,600,0,0,1,0,NA,249,1,300,1,1
B-innate,0.15,0.015,100,1,600,0,0,1,0,NA,279,1,300,0,1
B-innate,0.15,0.015,100,2,600,0,0,1,0,NA,240,1,300,0,1
B-innate,0.15,0.015,100,3,600,0,0,1,0,NA,227,1,300,0,1
B-innate,0.15,0.015,100,4,600,0,0,1,0,NA,291,1,300,0,1
B-innate,0.15,0.015,100,5,600,0,0,1,0,NA,278,1,300,0,1
B-innate,0.15,0.015,100,6,600,0,0,1,0,NA,271,1,300,0,1
B-innate,0.15,0.015,100,7,600,0,0,1,0,NA,245,1,300,0,1
B-innate,0.15,0.015,100,8,600,0,0,1,0,NA,266,1,300,0,1
B-innate,0.15,0.015,100,9,600,0,0,1,0,NA,269,1,300,0,1
B-innate,0.15,0.015,100,10,600,0,0,1,0,NA,249,1,300,0,1
A-conscription,0.15,0.02,56,1,600,107.94,0.9471928849360756,0,0,NA,NA,32.82,300,1,1
A-conscription,0.15,0.02,56,2,600,112.48333333333333,0.9700103719069492,0,0,NA,NA,26.653333333333332,300,1,1
A-conscription,0.15,0.02,56,3,600,0,0,1,0,NA,275,1,300,1,1
