phi,ratio,theta,sigma_s,k_star,seed,stopped_at,copies_per_genome,silenced_fraction,outcome,extinct,saturated,saturation_generation,extinction_generation,entries_per_genome,max_genomes_with_repertoire,saw_nonzero_entry,ever_had_repertoire,captures,mean_displacement,max_abs_entry,exploratory
0,2.00,0.1,0.05,4,2001,600,357.77666666666664,0.9275991540346399,CONTROLLED,0,0,NA,NA,241.75666666666666,300,1,1,69289,0,18.825286352658182,1
0,2.00,0.1,0.05,4,2002,600,353.76666666666665,0.9271459530764157,CONTROLLED,0,0,NA,NA,249.92333333333335,300,1,1,69717,0,18.904515756471707,1
0,2.00,0.1,0.05,4,2003,600,342.29,0.9227750348145335,CONTROLLED,0,0,NA,NA,248.34666666666666,300,1,1,69921,0,18.513463316279168,1
0,2.00,0.1,0.05,4,2004,600,333.9866666666667,0.9360852728651843,CONTROLLED,0,0,NA,NA,235.13666666666666,300,1,1,64813,0,17.008572078460972,1
0,2.00,0.1,0.05,4,2005,600,344.63666666666666,0.9311738932789121,CONTROLLED,0,0,NA,NA,243.75666666666666,300,1,1,68842,0,18.517033117449653,1
0,2.00,0.1,0.05,4,2006,600,327.65,0.9237194160435424,CONTROLLED,0,0,NA,NA,243.83,300,1,1,68323,0,19.108090120800213,1
0,2.00,0.1,0.05,4,2007,600,335.19,0.9114631502530903,CONTROLLED,0,0,NA,NA,257.0566666666667,300,1,1,71489,0,19.560078969223735,1
0,2.00,0.1,0.05,4,2008,600,362.7266666666667,0.9235604403683214,CONTROLLED,0,0,NA,NA,239.11333333333334,300,1,1,67661,0,18.34715293723014,1
0,2.00,0.1,0.05,4,2009,600,340.28333333333336,0.9338982220698437,CONTROLLED,0,0,NA,NA,262.07666666666665,300,1,1,73445,0,19.420846640615945,1
0,2.00,0.1,0.05,4,2010,600,346.91333333333336,0.9300593808251821,CONTROLLED,0,0,NA,NA,237.63333333333333,300,1,1,67136,0,18.578134782032905,1
0.125,2.00,0.1,0.05,4,2001,147,1508.2966666666666,0.39490904751275724,RUNAWAY,0,1,147,NA,39,300,1,1,8381,0.16405249143734288,3.012829534175494,1
0.125,2.00,0.1,0.05,4,2002,153,1597.0333333333333,0.18447329423305714,RUNAWAY,0,1,153,NA,33,300,1,1,7815,0.14748353142405218,3.034537321101097,1
0.125,2.00,0.1,0.05,4,2003,182,1589.5066666666667,0.3133634754598911,RUNAWAY,0,1,182,NA,41.03333333333333,300,1,1,8795,0.16424161111205618,2.925012189625028,1
0.125,2.00,0.1,0.05,4,2004,186,1668.3166666666666,0.3600235766591075,RUNAWAY,0,1,186,NA,37.903333333333336,300,1,1,8602,0.16699172956419686,2.92223685174245,1
0.125,2.00,0.1,0.05,4,2005,190,1576.5966666666666,0.3868374705853748,RUNAWAY,0,1,190,NA,43.193333333333335,300,1,1,9930,0.1915813324676988,3.4599638512638533,1
0.125,2.00,0.1,0.05,4,2006,172,1546.6033333333332,0.17753528700528687,RUNAWAY,0,1,172,NA,36.04333333333334,300,1,1,8611,0.16965339632624646,2.909192910516427,1
0.125,2.00,0.1,0.05,4,2007,175,1596.8866666666668,0.45354293562891124,RUNAWAY,0,1,175,NA,39.66,300,1,1,8241,0.1558306848228594,2.747437978292973,1
0.125,2.00,0.1,0.05,4,2008,168,1704.82,0.1260563187511487,RUNAWAY,0,1,168,NA,38.00666666666667,300,1,1,9239,0.17492049091103848,3.345145978781117,1
0.125,2.00,0.1,0.05,4,2009,176,1723.8766666666668,0.3390845826170859,RUNAWAY,0,1,176,NA,40.903333333333336,300,1,1,8929,0.17041181088166193,2.9129640158336327,1
0.125,2.00,0.1,0.05,4,2010,164,1640.29,0.13856492855938077,RUNAWAY,0,1,164,NA,37.016666666666666,300,1,1,8486,0.15743512636866736,3.012755590012788,1
0.25,2.00,0.1,0.05,4,2001,139,1594.4966666666667,0.30419839907682467,RUNAWAY,0,1,139,NA,19.026666666666667,300,1,1,4761,0.2035195315784844,1.4906824397684324,1
0.25,2.00,0.1,0.05,4,2002,147,1670.29,0.16156675387707126,RUNAWAY,0,1,147,NA,21.343333333333334,300,1,1,5296,0.21344353122402257,1.6790526442875118,1
0.25,2.00,0.1,0.05,4,2003,133,1505.4866666666667,0.25171041036564035,RUNAWAY,0,1,133,NA,20.623333333333335,300,1,1,4256,0.1909348686835148,1.4316566700545923,1
0.25,2.00,0.1,0.05,4,2004,136,1711.26,0.10295727514618858,RUNAWAY,0,1,136,NA,21.01,300,1,1,5268,0.2318321246595378,1.66940534012733,1
0.25,2.00,0.1,0.05,4,2005,130,1603.9433333333334,0.1902602544146406,RUNAWAY,0,1,130,NA,19,300,1,1,4028,0.17903501959171947,1.4770799359373843,1
