phi,ratio,theta,sigma_s,k_star,seed,horizon,stopped_at,copies_per_genome,silenced_fraction,outcome,extinct,saturated,entries_per_genome,max_genomes_with_repertoire,saw_nonzero_entry,hash,stopped_at_600,copies_per_genome_600,silenced_fraction_600,outcome_600,extinct_600,saturated_600,entries_per_genome_600,max_genomes_with_repertoire_600,saw_nonzero_entry_600,hash_600,saturation_generation,extinction_generation,captures,mean_displacement,mean_abs_s,max_abs_entry
0,2.00,0.1,0.05,4,3001,1800,1800,346.79,0.9235175947018849,CONTROLLED,0,0,838.4266666666666,300,1,45498242,600,363.23333333333335,0.919831146187024,CONTROLLED,0,0,241.26666666666668,300,1,e48d3047,NA,NA,233695,0,30.09847662061176,60.60662724867681
0,2.00,0.1,0.05,4,3002,1800,1800,332.3933333333333,0.9337230991395736,CONTROLLED,0,0,836.6133333333333,300,1,cfcae9cd,600,344.29333333333335,0.9322089690961196,CONTROLLED,0,0,250.22,300,1,17083b3d,NA,NA,235236,0,30.35824129091611,61.34466316197935
0,2.00,0.1,0.05,4,3003,1800,1800,357.72333333333336,0.9317629080201646,CONTROLLED,0,0,850.12,300,1,bce9677a,600,350.8666666666667,0.9206441193235797,CONTROLLED,0,0,250.32333333333332,300,1,a5d3af39,NA,NA,236996,0,30.433612855088818,61.379344611974325
0,2.00,0.1,0.05,4,3004,1800,1800,333.71666666666664,0.9242970583828597,CONTROLLED,0,0,835.1133333333333,300,1,c8ecdd4d,600,352.50666666666666,0.9172497919661093,CONTROLLED,0,0,253.7,300,1,c4f03fce,NA,NA,234879,0,30.20610677205002,60.840401885027106
0,2.00,0.1,0.05,4,3005,1800,1800,355.49666666666667,0.9270410411724442,CONTROLLED,0,0,854.6,300,1,c321f0c6,600,337.9533333333333,0.904454263902314,CONTROLLED,0,0,248.06,300,1,a6efb4b1,NA,NA,239201,0,30.863901983105617,62.73094663276718
0,2.00,0.1,0.05,4,3006,1800,1800,361.82666666666665,0.920109076169068,CONTROLLED,0,0,848.3666666666667,300,1,2bb21e24,600,364.66333333333336,0.9255386246675016,CONTROLLED,0,0,243.94,300,1,6fba0b1c,NA,NA,235254,0,30.384466656733608,62.157789247721475
0,2.00,0.1,0.05,4,3007,1800,1800,325.75333333333333,0.9298344350531077,CONTROLLED,0,0,820.78,300,1,c9a999fa,600,336.83666666666664,0.9406834172843416,CONTROLLED,0,0,232.52666666666667,300,1,4462d3d4,NA,NA,229613,0,29.431089589149156,60.25363393186696
0,2.00,0.1,0.05,4,3008,1800,1800,324.2,0.9353793954349168,CONTROLLED,0,0,822.2933333333333,300,1,3c1388d0,600,343.81666666666666,0.9417615977507392,CONTROLLED,0,0,231.61,300,1,bd0f640c,NA,NA,230976,0,29.816713979619564,60.766026178650165
0,2.00,0.1,0.05,4,3009,1800,1800,346.69,0.9121116847904468,CONTROLLED,0,0,840.9533333333334,300,1,19b578a6,600,332.81,0.9287281031219013,CONTROLLED,0,0,252.82,300,1,855a6d9a,NA,NA,234095,0,30.07344023431985,61.61045621633582
0,2.00,0.1,0.05,4,3010,1800,1800,368.7266666666667,0.9280948851000741,CONTROLLED,0,0,853.7433333333333,300,1,bdd25e01,600,334.51666666666665,0.9403916097852624,CONTROLLED,0,0,253.66333333333333,300,1,893a1b4c,NA,NA,236736,0,30.444377015107545,61.174035083413855
0.001,2.00,0.1,0.05,4,3001,1800,1800,401.48333333333335,0.8957615509153556,CONTROLLED,0,0,856.08,300,1,8b8bc610,600,357.4266666666667,0.9224083261834596,CONTROLLED,0,0,252.51666666666668,300,1,102b19d1,NA,NA,235133,0.030336125303441236,30.33612530344057,61.75758760047452
0.001,2.00,0.1,0.05,4,3002,1800,1800,410.80333333333334,0.9011367970074894,CONTROLLED,0,0,849.6933333333334,300,1,61b527ee,600,351.78333333333336,0.9245179324394751,CONTROLLED,0,0,242.84,300,1,0fc511eb,NA,NA,235756,0.030437606068532217,30.437606068533178,62.004677783547805
0.001,2.00,0.1,0.05,4,3003,1800,1800,406.96666666666664,0.9205995577033336,CONTROLLED,0,0,854.8366666666667,300,1,d803f3ef,600,353.15,0.9192411156732266,CONTROLLED,0,0,248.12,300,1,cd70987b,NA,NA,235371,0.030220130265440064,30.22013026543975,61.50512651389803
0.001,2.00,0.1,0.05,4,3004,1800,1800,401.95,0.9127088775552514,CONTROLLED,0,0,830.4,300,1,60997201,600,351.9033333333333,0.9153176535222741,CONTROLLED,0,0,229.59666666666666,300,1,551ad47b,NA,NA,231502,0.029939227151592536,29.9392271515928,60.539540773416356
0.001,2.00,0.1,0.05,4,3005,1800,1800,403.1533333333333,0.9119111008218543,CONTROLLED,0,0,844.39,300,1,47eb8d83,600,347.47,0.9260751527709826,CONTROLLED,0,0,249.85333333333332,300,1,684d65d1,NA,NA,236094,0.03042214827623786,30.4221482762384,61.74009695007029
0.001,2.00,0.1,0.05,4,3006,1800,1800,400.1166666666667,0.8919981672012329,CONTROLLED,0,0,867.46,300,1,879a4322,600,358.7033333333333,0.9164490618988765,CONTROLLED,0,0,249.51666666666668,300,1,b48cc373,NA,NA,237207,0.03065318391553279,30.653183915532775,62.42381243749922
0.001,2.00,0.1,0.05,4,3007,1800,1800,404.6666666666667,0.8982619439868205,CONTROLLED,0,0,854.67,300,1,335cf3da,600,362.0933333333333,0.9259214935375778,CONTROLLED,0,0,245.30666666666667,300,1,092176a4,NA,NA,235150,0.03024786329878958,30.2478632987894,62.09417597716108
0.001,2.00,0.1,0.05,4,3008,1800,1800,390.41333333333336,0.9144240292339743,CONTROLLED,0,0,837.8433333333334,300,1,65c2cad8,600,353.99,0.9250543800672335,CONTROLLED,0,0,236.59333333333333,300,1,59fad870,NA,NA,234587,0.03024391308430367,30.243913084303337,62.330016332667164
0.001,2.00,0.1,0.05,4,3009,1800,1800,402.55,0.9100401606425703,CONTROLLED,0,0,822.4933333333333,300,1,50ff779f,600,362.07666666666665,0.9262126805556834,CONTROLLED,0,0,230.89666666666668,300,1,5c259e21,NA,NA,231899,0.02988966464654479,29.88966464654383,60.35600058471987
0.001,2.00,0.1,0.05,4,3010,1800,1800,387.15,0.9288733910198459,CONTROLLED,0,0,837.3033333333333,300,1,34c6eaa6,600,382.36333333333334,0.9158479282357966,CONTROLLED,0,0,246.20333333333335,300,1,932bfe65,NA,NA,232661,0.030114842618415176,30.114842618414382,61.27726192978781
0.002,2.00,0.1,0.05,4,3001,1800,1800,478.7033333333333,0.859732193216397,CONTROLLED,0,0,854.8433333333334,300,1,7f662694,600,351.3566666666667,0.9246919085070251,CONTROLLED,0,0,241.57666666666665,300,1,a11c44c4,NA,NA,227493,0.059945887735048435,29.972943867525114,61.43983214008109
0.002,2.00,0.1,0.05,4,3002,1800,1800,509.59,0.8745200389855897,CONTROLLED,0,0,858.9433333333334,300,1,3c7ab5ae,600,396.68666666666667,0.9226761675881888,CONTROLLED,0,0,253.29333333333332,300,1,af2a2adc,NA,NA,230857,0.06050968104600877,30.25484052300487,62.35224153060067
0.002,2.00,0.1,0.05,4,3003,1800,1800,476.4433333333333,0.8400649255245465,CONTROLLED,0,0,855.82,300,1,4c212aec,600,379.38,0.9101165058780115,CONTROLLED,0,0,246.53666666666666,300,1,258f729c,NA,NA,231212,0.060982754124437225,30.491377062218266,63.47814994583125
0.002,2.00,0.1,0.05,4,3004,1800,1800,493.6,0.8728254997298758,CONTROLLED,0,0,864.15,300,1,5b076b4e,600,370.54,0.9328007772440222,CONTROLLED,0,0,251.16333333333333,300,1,92f2256a,NA,NA,232772,0.06084817683394723,30.424088416974104,63.210323246739065
0.002,2.00,0.1,0.05,4,3005,1800,1800,494.4866666666667,0.8604950588489073,CONTROLLED,0,0,852.4166666666666,300,1,a87d1f36,600,375.17,0.9315066058942169,CONTROLLED,0,0,245.43666666666667,300,1,6a405423,NA,NA,227456,0.0595505529396584,29.775276469828793,61.32033999613823
0.002,2.00,0.1,0.05,4,3006,1800,1800,472.96,0.8728363216057735,CONTROLLED,0,0,865.6333333333333,300,1,2c2c6b93,600,359.4166666666667,0.9250915835845119,CONTROLLED,0,0,253.93333333333334,300,1,f2dbe260,NA,NA,229624,0.06006643013217801,30.0332150660886,61.74502449357764
0.002,2.00,0.1,0.05,4,3007,1800,1800,504.9433333333333,0.8675164869985411,CONTROLLED,0,0,856.8166666666667,300,1,52038e41,600,356.86333333333334,0.930953959966,CONTROLLED,0,0,241.26666666666668,300,1,45ddeb7e,NA,NA,227555,0.059968981603004096,29.98449080150264,61.42976693076948
0.002,2.00,0.1,0.05,4,3008,1800,1800,474.69,0.8617202806041838,CONTROLLED,0,0,858.3133333333334,300,1,b5a7f025,600,375.0733333333333,0.9356925756740904,CONTROLLED,0,0,251.22666666666666,300,1,decf50ee,NA,NA,229968,0.06038001537660924,30.19000768830403,62.961331922307636
