phi,ratio,theta,sigma_s,k_star,seed,horizon,predicted_t_sat,stopped_at,copies_per_genome,silenced_fraction,outcome,extinct,saturated,entries_per_genome,max_genomes_with_repertoire,saw_nonzero_entry,hash,stopped_at_600,copies_per_genome_600,silenced_fraction_600,outcome_600,extinct_600,saturated_600,entries_per_genome_600,max_genomes_with_repertoire_600,saw_nonzero_entry_600,hash_600,stopped_at_1800,copies_per_genome_1800,silenced_fraction_1800,outcome_1800,extinct_1800,saturated_1800,entries_per_genome_1800,max_genomes_with_repertoire_1800,saw_nonzero_entry_1800,hash_1800,saturation_generation,extinction_generation,captures,mean_displacement,mean_abs_s,max_abs_entry
0.002,2.00,0.1,0.05,4,4001,8000,3297.5284877716335,4820,1794.2133333333334,0.31364163310197224,RUNAWAY,0,1,2252.423333333333,300,1,8c1259a5,600,368.0933333333333,0.9286231752816315,CONTROLLED,0,0,246.03666666666666,300,1,0e69399f,1800,509.1066666666667,0.8692480947018306,CONTROLLED,0,0,852.53,300,1,e886015c,4820,NA,492623,0.14072398947166773,70.36199473583272,160.66093098808324
0.002,2.00,0.1,0.05,4,4002,8000,3297.5284877716335,4265,1534.1666666666667,0.4115046170559479,RUNAWAY,0,1,2035.7533333333333,300,1,c664063b,600,356.17333333333335,0.9100625163777936,CONTROLLED,0,0,261.0466666666667,300,1,191a2145,1800,428.5733333333333,0.8480617863920605,CONTROLLED,0,0,875.42,300,1,ccf60e74,4265,NA,465808,0.13134794978446684,65.67397489223349,145.8536539788078
0.002,2.00,0.1,0.05,4,4003,8000,3297.5284877716335,4606,1505.2166666666667,0.3552135351499784,RUNAWAY,0,1,2171.0733333333333,300,1,843769ed,600,384.7266666666667,0.9268571626609368,CONTROLLED,0,0,262.24666666666667,300,1,a350b5a9,1800,477.5466666666667,0.9058800536073264,CONTROLLED,0,0,873.9266666666666,300,1,56fefdbc,4606,NA,496964,0.14069709732444796,70.3485486622229,154.93515964764907
0.002,2.00,0.1,0.05,4,4004,8000,3297.5284877716335,4675,1540.52,0.43374964297769586,RUNAWAY,0,1,2171.59,300,1,95cc9304,600,389.3566666666667,0.9201246500637804,CONTROLLED,0,0,246.82666666666665,300,1,4d05ba73,1800,501.98333333333335,0.8656993924101066,CONTROLLED,0,0,858.12,300,1,1bdf7b51,4675,NA,486541,0.13885202843869912,69.42601421934783,158.29358124373803
0.002,2.00,0.1,0.05,4,4005,8000,3297.5284877716335,5007,1556.5333333333333,0.44902775398321054,RUNAWAY,0,1,2325.12,300,1,9e287956,600,369.1666666666667,0.9147720090293454,CONTROLLED,0,0,242.63,300,1,65e860e2,1800,491.23,0.8709972925106365,CONTROLLED,0,0,859.3966666666666,300,1,c45a340f,5007,NA,505278,0.14524260356409743,72.62130178205176,167.60422395147938
0.002,2.00,0.1,0.05,4,4006,8000,3297.5284877716335,4412,1515.8766666666668,0.48244470196563927,RUNAWAY,0,1,2094.096666666667,300,1,5cada789,600,369.3066666666667,0.9244891327893711,CONTROLLED,0,0,265.0133333333333,300,1,debe7c72,1800,495.8566666666667,0.8407469900576108,CONTROLLED,0,0,888.47,300,1,d56e3642,4412,NA,479184,0.13549927400558262,67.74963700278506,149.59187748486303
0.002,2.00,0.1,0.05,4,4007,8000,3297.5284877716335,4734,1507.64,0.3033571232743449,RUNAWAY,0,1,2205.0866666666666,300,1,b63d91b2,600,375.25333333333333,0.9198941159749858,CONTROLLED,0,0,247.41,300,1,5144f7a5,1800,371.47,0.8379680727918809,CONTROLLED,0,0,851.5866666666667,300,1,a2b3ce50,4734,NA,494479,0.14027615787485995,70.13807893742886,159.28813224995778
0.002,2.00,0.1,0.05,4,4008,8000,3297.5284877716335,4482,1519.7766666666666,0.5325124524875365,RUNAWAY,0,1,2106.45,300,1,a439aeaf,600,366.20666666666665,0.9176512351859606,CONTROLLED,0,0,238.69333333333333,300,1,8ee34599,1800,453.4433333333333,0.8494556467915874,CONTROLLED,0,0,850.8066666666666,300,1,31641952,4482,NA,474978,0.13464616385445333,67.32308192723106,150.85100870237812
0.002,2.00,0.1,0.05,4,4009,8000,3297.5284877716335,4611,1545.8066666666666,0.5486197066472306,RUNAWAY,0,1,2171.0733333333333,300,1,db7d9a82,600,370.99333333333334,0.9287588276518896,CONTROLLED,0,0,260.48,300,1,13dab07b,1800,466.1933333333333,0.8841110268987116,CONTROLLED,0,0,867.82,300,1,8557b5e7,4611,NA,487693,0.13916138517862015,69.58069258931266,155.78343142024133
0.002,2.00,0.1,0.05,4,4010,8000,3297.5284877716335,5589,1569.41,0.17713025914197056,RUNAWAY,0,1,2144.01,300,1,01154c93,600,359.53333333333336,0.916781012423512,CONTROLLED,0,0,233.85,300,1,fdf4f51c,1800,438.87333333333333,0.8693320775926235,CONTROLLED,0,0,848.31,300,1,4a329d3a,5589,NA,457556,0.13445942919478088,67.22971459738895,195.14116821029748
