phi,ratio,theta,sigma_s,seed,horizon,horizon_from,horizon_predicted,stopped_at,copies_per_genome,silenced_fraction,extinct,saturated,saturation_generation,entries_per_genome,captures,mean_abs_s,max_abs_entry,hash
0.0028,2.00,0.1,0.05,6001,6000,005-power-law,3350.62,3112,1587.623333,0.476482,0,1,3112,1460.556667,339113,47.671376,104.091330,827dee39
0.0028,2.00,0.1,0.05,6002,6000,005-power-law,3350.62,3195,1558.376667,0.432580,0,1,3195,1482.123333,345237,48.561231,105.975937,ad6a03c8
0.0028,2.00,0.1,0.05,6003,6000,005-power-law,3350.62,3339,1603.986667,0.397073,0,1,3339,1547.133333,346214,49.259395,111.499729,a43d53de
0.0028,2.00,0.1,0.05,6004,6000,005-power-law,3350.62,3751,1621.456667,0.333866,0,1,3751,1713.413333,369693,53.133019,123.185644,592aeefa
0.0028,2.00,0.1,0.05,6005,6000,005-power-law,3350.62,3472,1562.356667,0.382459,0,1,3472,1610.243333,357964,51.157222,115.948961,cff55fcf
0.0028,2.00,0.1,0.05,6006,6000,005-power-law,3350.62,2890,1549.393333,0.528465,0,1,2890,1346.963333,321312,44.582328,97.318229,e8b9bcd2
0.0028,2.00,0.1,0.05,6007,6000,005-power-law,3350.62,3463,1590.466667,0.285392,0,1,3463,1581.150000,361303,50.798325,113.551953,da0abcd8
0.0028,2.00,0.1,0.05,6008,6000,005-power-law,3350.62,3463,1526.530000,0.385484,0,1,3463,1589.093333,355379,50.611332,115.700553,b63affeb
0.0028,2.00,0.1,0.05,6009,6000,005-power-law,3350.62,3303,1505.530000,0.343221,0,1,3303,1532.146667,347787,49.111370,110.368678,5cefba61
0.0028,2.00,0.1,0.05,6010,6000,005-power-law,3350.62,3291,1509.910000,0.435609,0,1,3291,1511.200000,354408,49.503664,109.316759,fa412a9e
0.0057,2.00,0.1,0.05,6001,3500,005-power-law,1805.95,1730,1528.290000,0.322934,0,1,1730,777.076667,174871,24.914031,56.337604,17784ed8
0.0057,2.00,0.1,0.05,6002,3500,005-power-law,1805.95,1815,1500.443333,0.476215,0,1,1815,815.026667,176981,25.278343,58.032116,d0b6b2d7
0.0057,2.00,0.1,0.05,6003,3500,005-power-law,1805.95,1874,1629.100000,0.389188,0,1,1874,839.066667,180002,26.173236,61.562714,dcf2fc3d
0.0057,2.00,0.1,0.05,6004,3500,005-power-law,1805.95,1710,1557.026667,0.387217,0,1,1710,763.513333,172414,24.486512,55.017950,6252c8b5
0.0057,2.00,0.1,0.05,6005,3500,005-power-law,1805.95,1679,1520.746667,0.416732,0,1,1679,752.000000,170879,24.231961,55.203638,2c6f98c5
0.0057,2.00,0.1,0.05,6006,3500,005-power-law,1805.95,1752,1557.676667,0.269628,0,1,1752,798.203333,173052,24.925697,58.697076,c87f3b1f
0.0057,2.00,0.1,0.05,6007,3500,005-power-law,1805.95,1699,1545.243333,0.250625,0,1,1699,765.196667,173405,24.569767,55.467121,7476e04a
0.0057,2.00,0.1,0.05,6008,3500,005-power-law,1805.95,1791,1565.113333,0.521472,0,1,1791,809.670000,176436,25.508343,58.921759,aa19f6f6
0.0057,2.00,0.1,0.05,6009,3500,005-power-law,1805.95,1815,1532.966667,0.544904,0,1,1815,797.006667,175988,25.236643,58.184657,ba31b8d1
0.0057,2.00,0.1,0.05,6010,3500,005-power-law,1805.95,1510,1500.233333,0.337625,0,1,1510,698.126667,163095,23.046005,50.618225,e4bff87e
0.008,2.00,0.1,0.05,6001,2500,005-power-law,1344.95,1283,1611.303333,0.282314,0,1,1283,570.323333,124756,18.078071,40.870273,51bfe602
