phi,ratio,theta,sigma_s,seed,horizon,horizon_from,horizon_predicted,stopped_at,copies_per_genome,silenced_fraction,extinct,saturated,saturation_generation,entries_per_genome,captures,mean_abs_s,max_abs_entry,hash
0.002,2.00,0.1,0.05,4001,8000,005-oracle,0.00,4820,1794.213333,0.313642,0,1,4820,2252.423333,492623,70.361995,160.660931,8c1259a5
0.002,2.00,0.1,0.05,4002,8000,005-oracle,0.00,4265,1534.166667,0.411505,0,1,4265,2035.753333,465808,65.673975,145.853654,c664063b
0.002,2.00,0.1,0.05,4003,8000,005-oracle,0.00,4606,1505.216667,0.355214,0,1,4606,2171.073333,496964,70.348549,154.935160,843769ed
0.002,2.00,0.1,0.05,4004,8000,005-oracle,0.00,4675,1540.520000,0.433750,0,1,4675,2171.590000,486541,69.426014,158.293581,95cc9304
0.002,2.00,0.1,0.05,4005,8000,005-oracle,0.00,5007,1556.533333,0.449028,0,1,5007,2325.120000,505278,72.621302,167.604224,9e287956
0.002,2.00,0.1,0.05,4006,8000,005-oracle,0.00,4412,1515.876667,0.482445,0,1,4412,2094.096667,479184,67.749637,149.591877,5cada789
0.002,2.00,0.1,0.05,4007,8000,005-oracle,0.00,4734,1507.640000,0.303357,0,1,4734,2205.086667,494479,70.138079,159.288132,b63d91b2
0.002,2.00,0.1,0.05,4008,8000,005-oracle,0.00,4482,1519.776667,0.532512,0,1,4482,2106.450000,474978,67.323082,150.851009,a439aeaf
0.002,2.00,0.1,0.05,4009,8000,005-oracle,0.00,4611,1545.806667,0.548620,0,1,4611,2171.073333,487693,69.580693,155.783431,db7d9a82
0.002,2.00,0.1,0.05,4010,8000,005-oracle,0.00,5589,1569.410000,0.177130,0,1,5589,2144.010000,457556,67.229715,195.141168,01154c93
0.002,3.33,0.1,0.03,4001,8000,005-oracle,0.00,4992,1527.876667,0.189762,0,1,4992,1510.120000,310881,42.353226,102.744432,12f36b5d
0.002,3.33,0.1,0.03,4002,8000,005-oracle,0.00,4973,1685.863333,0.171507,0,1,4973,1494.066667,311871,42.427890,101.983185,2f69f229
0.002,3.33,0.1,0.03,4003,8000,005-oracle,0.00,5688,1526.690000,0.135430,0,1,5688,1655.000000,320746,44.333131,117.490596,93153802
0.002,3.33,0.1,0.03,4004,8000,005-oracle,0.00,5527,1530.903333,0.335882,0,1,5527,1677.000000,325265,45.243568,112.866516,bd78f705
0.002,3.33,0.1,0.03,4005,8000,005-oracle,0.00,5310,1562.566667,0.406594,0,1,5310,1600.000000,317913,43.809676,107.634597,96c8cfb6
0.002,3.33,0.1,0.03,4006,8000,005-oracle,0.00,5159,1535.110000,0.358389,0,1,5159,1554.016667,315580,43.324878,106.077959,868274d8
0.002,3.33,0.1,0.03,4007,8000,005-oracle,0.00,5085,1517.216667,0.313010,0,1,5085,1531.056667,317078,43.285180,104.910293,360d13d2
0.002,3.33,0.1,0.03,4008,8000,005-oracle,0.00,5347,1624.240000,0.246125,0,1,5347,1623.133333,323538,44.884245,110.579547,774be08e
0.002,3.33,0.1,0.03,4009,8000,005-oracle,0.00,5393,1542.703333,0.154981,0,1,5393,1628.013333,323143,44.376117,108.867029,0c11e342
0.002,3.33,0.1,0.03,4010,8000,005-oracle,0.00,5981,1784.883333,0.115339,0,1,5981,1682.006667,320070,44.356773,124.518687,5cba49e7
0.002,5.00,0.1,0.02,4001,8000,005-oracle,0.00,6270,1617.936667,0.128825,0,1,6270,1282.023333,235596,30.540199,87.569930,4b608d68
0.002,5.00,0.1,0.02,4002,8000,005-oracle,0.00,5871,1937.696667,0.119551,0,1,5871,1278.033333,236375,30.823609,80.444274,0b31afbf
