role,phi,ratio,seed,horizon,stopped_at,copies_per_genome,silenced_fraction,extinct,saturated,saturation_generation,hash,replay_hash,model_digest
control,0.001,5.00,6001,35007,11054,1585.7833333333333,0.11412866406718025,0,1,11054,6029866f,NA,07f0ccabe735a307e24e7a45b1b1327df531a65b7a1e076780d045ad8608c5de
control,0.001,5.00,6002,35007,11813,1724.3933333333334,0.17188653787418956,0,1,11813,0ca40204,NA,07f0ccabe735a307e24e7a45b1b1327df531a65b7a1e076780d045ad8608c5de
control,0.001,5.00,6003,35007,12104,1872.8333333333333,0.2648144522559402,0,1,12104,b3fff73b,NA,07f0ccabe735a307e24e7a45b1b1327df531a65b7a1e076780d045ad8608c5de
control,0.001,5.00,6004,35007,10512,1690.6366666666668,0.19895266280355922,0,1,10512,8e0aa153,NA,07f0ccabe735a307e24e7a45b1b1327df531a65b7a1e076780d045ad8608c5de
control,0.001,5.00,6005,35007,12333,1731.6533333333334,0.11651100297211144,0,1,12333,9e9524cd,NA,07f0ccabe735a307e24e7a45b1b1327df531a65b7a1e076780d045ad8608c5de
control,0.001,5.00,6006,35007,12090,1755.1233333333332,0.11440411595006619,0,1,12090,2125a1ac,NA,07f0ccabe735a307e24e7a45b1b1327df531a65b7a1e076780d045ad8608c5de
control,0.001,5.00,6007,35007,11987,1820.7433333333333,0.11380150597832753,0,1,11987,15448e6e,NA,07f0ccabe735a307e24e7a45b1b1327df531a65b7a1e076780d045ad8608c5de
control,0.001,5.00,6008,35007,12163,1591.5,0.14155618389360142,0,1,12163,4383b669,NA,07f0ccabe735a307e24e7a45b1b1327df531a65b7a1e076780d045ad8608c5de
control,0.001,5.00,6009,35007,12646,1861.4366666666667,0.10018963846921106,0,1,12646,e0f2518d,NA,07f0ccabe735a307e24e7a45b1b1327df531a65b7a1e076780d045ad8608c5de
control,0.001,5.00,6010,35007,11594,1900.3866666666668,0.12311880389254116,0,1,11594,8a379eda,NA,07f0ccabe735a307e24e7a45b1b1327df531a65b7a1e076780d045ad8608c5de
named,0.0005,5.00,6005,239030,230096,0,0,1,0,NA,c1e9d5dd,6036f311,07f0ccabe735a307e24e7a45b1b1327df531a65b7a1e076780d045ad8608c5de
named,0.0005,5.00,6006,239030,239030,714.9,0.6329696461043502,0,0,NA,70f08613,1ba1bbf0,07f0ccabe735a307e24e7a45b1b1327df531a65b7a1e076780d045ad8608c5de
named,0.0005,5.00,6008,239030,239030,474.62666666666667,0.7514397280669719,0,0,NA,e4803632,6b518b4c,07f0ccabe735a307e24e7a45b1b1327df531a65b7a1e076780d045ad8608c5de
fresh,0.0005,5.00,7001,239030,22904,1807.9833333333333,0.12891527392398527,0,1,22904,d74201e7,NA,07f0ccabe735a307e24e7a45b1b1327df531a65b7a1e076780d045ad8608c5de
