role,seed,generation,copies_per_genome
control,6001,1000,217.72
control,6001,2000,245.07
control,6001,3000,276.85
control,6001,4000,323.27666666666664
control,6001,5000,385.3933333333333
control,6001,6000,410.32
control,6001,7000,400.7366666666667
control,6001,8000,477.3333333333333
control,6001,9000,501.94666666666666
control,6001,10000,838.2
control,6001,11000,634.48
control,6002,1000,214.28
control,6002,2000,241.03
control,6002,3000,299.66333333333336
control,6002,4000,339.07666666666665
control,6002,5000,366.18
control,6002,6000,442.1533333333333
control,6002,7000,455.72
control,6002,8000,465.46666666666664
control,6002,9000,497.88666666666666
control,6002,10000,499.3333333333333
control,6002,11000,354.9433333333333
control,6003,1000,203.78
control,6003,2000,247.31333333333333
control,6003,3000,273.75
control,6003,4000,328.73
control,6003,5000,362.52666666666664
control,6003,6000,417.04333333333335
control,6003,7000,480.7266666666667
control,6003,8000,460.7133333333333
control,6003,9000,527.3066666666666
control,6003,10000,497.9433333333333
control,6003,11000,471.04333333333335
control,6003,12000,344.00666666666666
control,6004,1000,212.83666666666667
control,6004,2000,264.56333333333333
control,6004,3000,290.1666666666667
control,6004,4000,349.96666666666664
control,6004,5000,378.13666666666666
control,6004,6000,366.91333333333336
control,6004,7000,423.76666666666665
control,6004,8000,562.0866666666667
control,6004,9000,509.32
control,6004,10000,511.41333333333336
control,6005,1000,202.08333333333334
control,6005,2000,257.23333333333335
control,6005,3000,270.5233333333333
control,6005,4000,326.5466666666667
control,6005,5000,369.0933333333333
control,6005,6000,379.3566666666667
control,6005,7000,473.4033333333333
control,6005,8000,450.04
control,6005,9000,397.50333333333333
control,6005,10000,490.54333333333335
control,6005,11000,456.43333333333334
control,6005,12000,617.52
control,6006,1000,233.15333333333334
control,6006,2000,250.12333333333333
control,6006,3000,274.55333333333334
control,6006,4000,336.5233333333333
control,6006,5000,366.02
control,6006,6000,417.2633333333333
control,6006,7000,348.58666666666664
control,6006,8000,476.7133333333333
control,6006,9000,502.5366666666667
control,6006,10000,543.9533333333334
control,6006,11000,608.94
control,6006,12000,523.3866666666667
control,6007,1000,232.76333333333332
control,6007,2000,240.10333333333332
control,6007,3000,298.42
control,6007,4000,313.36
control,6007,5000,378.5133333333333
control,6007,6000,420.18
control,6007,7000,450.3833333333333
control,6007,8000,492.0833333333333
control,6007,9000,597.13
control,6007,10000,467.8
control,6007,11000,509.58
control,6008,1000,146.76333333333332
control,6008,2000,175.26333333333332
control,6008,3000,201.18333333333334
control,6008,4000,245.61
control,6008,5000,284.59
control,6008,6000,326.61333333333334
control,6008,7000,341.6
control,6008,8000,333.20666666666665
control,6008,9000,362.32666666666665
control,6008,10000,361.00333333333333
control,6008,11000,586.5833333333334
control,6008,12000,502.45
control,6009,1000,221.26333333333332
control,6009,2000,253.38666666666666
control,6009,3000,306.81333333333333
control,6009,4000,304.21666666666664
control,6009,5000,376.03333333333336
control,6009,6000,348.17333333333335
control,6009,7000,455.95666666666665
control,6009,8000,469.6566666666667
control,6009,9000,452.38666666666666
control,6009,10000,623.5233333333333
control,6009,11000,431.39666666666665
control,6009,12000,473.9866666666667
control,6010,1000,215.16666666666666
control,6010,2000,246.81333333333333
control,6010,3000,312.3666666666667
control,6010,4000,334.0133333333333
control,6010,5000,376.66333333333336
control,6010,6000,412.06666666666666
control,6010,7000,452.74666666666667
control,6010,8000,476.11
control,6010,9000,557.35
control,6010,10000,623.1766666666666
control,6010,11000,703.4666666666667
named,6005,1000,201.46666666666667
named,6005,2000,227.08333333333334
named,6005,3000,222.20666666666668
named,6005,4000,226.93333333333334
named,6005,5000,271.38666666666666
named,6005,6000,296.48
named,6005,7000,306.0933333333333
named,6005,8000,352.2633333333333
named,6005,9000,354.8066666666667
named,6005,10000,375.48
named,6005,11000,436.26
named,6005,12000,428.7266666666667
named,6005,13000,357.46666666666664
named,6005,14000,385.00666666666666
named,6005,15000,514.2366666666667
named,6005,16000,466.5566666666667
named,6005,17000,532.83
named,6005,18000,692.12
named,6005,19000,581.5
named,6005,20000,685.8666666666667
named,6005,21000,670.8933333333333
named,6005,22000,697.1066666666667
named,6005,23000,484.76
named,6005,24000,740.24
named,6005,25000,560.2566666666667
named,6005,26000,421.76
named,6005,27000,700.9933333333333
named,6005,28000,773.9833333333333
named,6005,29000,582.9833333333333
named,6005,30000,564.8266666666667
named,6005,31000,719.2633333333333
named,6005,32000,487.4866666666667
named,6005,33000,592.5033333333333
named,6005,34000,529.6233333333333
named,6005,35000,529.1766666666666
named,6005,36000,585.8966666666666
named,6005,37000,678.03
named,6005,38000,465.41333333333336
named,6005,39000,649.33
named,6005,40000,522.0733333333334
named,6005,41000,761.9066666666666
named,6005,42000,654.0133333333333
named,6005,43000,718.4433333333334
named,6005,44000,455.74666666666667
named,6005,45000,490.62333333333333
named,6005,46000,533.5066666666667
named,6005,47000,706.5666666666667
named,6005,48000,412.45666666666665
named,6005,49000,472.3233333333333
named,6005,50000,421.6566666666667
named,6005,51000,641.21
named,6005,52000,543.24
named,6005,53000,713.5466666666666
named,6005,54000,649.0966666666667
named,6005,55000,669.26
named,6005,56000,741.2833333333333
named,6005,57000,655.5833333333334
named,6005,58000,499.33666666666664
named,6005,59000,421.36
named,6005,60000,585.1633333333333
named,6005,61000,462.71666666666664
named,6005,62000,485.0733333333333
named,6005,63000,511.56
named,6005,64000,673.89
named,6005,65000,654.99
named,6005,66000,582.9966666666667
named,6005,67000,585.5466666666666
named,6005,68000,608.2966666666666
named,6005,69000,628.6433333333333
named,6005,70000,679.08
named,6005,71000,420.30333333333334
named,6005,72000,678.11
named,6005,73000,603.93
named,6005,74000,532.6033333333334
named,6005,75000,550.6266666666667
named,6005,76000,698.2633333333333
named,6005,77000,529.1733333333333
named,6005,78000,564.6766666666666
named,6005,79000,491.56666666666666
named,6005,80000,549.7333333333333
named,6005,81000,483.6066666666667
named,6005,82000,676.7666666666667
named,6005,83000,636.5833333333334
named,6005,84000,434.3066666666667
named,6005,85000,543.5966666666667
named,6005,86000,417.70666666666665
named,6005,87000,533.6933333333334
named,6005,88000,696.72
named,6005,89000,615.25
named,6005,90000,459.25
named,6005,91000,757.45
named,6005,92000,539.5733333333334
named,6005,93000,766.34
named,6005,94000,625.9566666666667
named,6005,95000,659.0266666666666
named,6005,96000,654.02
named,6005,97000,441.58666666666664
named,6005,98000,478.2266666666667
named,6005,99000,474.61333333333334
named,6005,100000,605.3033333333333
named,6005,101000,387.15
named,6005,102000,542.83
named,6005,103000,431.65
named,6005,104000,495.8
named,6005,105000,607.94
named,6005,106000,675.7833333333333
named,6005,107000,497.6333333333333
named,6005,108000,554.1166666666667
named,6005,109000,696.56
named,6005,110000,616.4
named,6005,111000,519.9633333333334
named,6005,112000,666.7433333333333
named,6005,113000,714.19
named,6005,114000,743.0266666666666
named,6005,115000,635.5533333333333
named,6005,116000,730.8333333333334
named,6005,117000,441.14
